CH 1,CH 2,CH 3,CH 4,CH 5,CH 6,CH 7,CH 8,CH 9,CH 10,CH 11,CH 12,Suhu,Debit
0,0,13,0,0,0,27,0,10,9,0,13,27,27.034
0,2,0,0,0,0,0,0,0,5,0,0,26.7,21.483
0,0,0,0,0,0,19,0,0,0,0,0,27.2,27.055
0,2,12,0,0,0,0,0,0,0,0,0,25.1,24.778
0,0,16,0,7,0,0,0,2,0,0,0,25.3,22.773
0,0,0,0,0,0,0,0,0,0,0,0,25,18.709
0,0,13,0,6,0,0,0,2,0,0,0,27.3,15.498
0,14,8,0,0,6,0,0,0,0,0,0,27,20.936
0,0,0,0,0,0,0,0,0,0,0,0,27.6,31.9
0,3,0,0,0,0,0,25,2,0,0,0,26.5,17.75
0,0,0,4,0,0,0,0,3,0,0,0,26.8,16.32141
0,0,0,0,0,0,0,0,0,0,0,0,26.7,16.479
0,0,0,0,0,0,0,0,0,0,0,0,27.2,16.295
0,0,0,0,0,0,0,5,0,0,0,0,27.8,13.51
0,0,0,0,0,0,0,0,0,0,0,2,26.7,13.91
0,0,0,0,0,0,0,0,0,0,0,0,26.7,13.425
0,0,0,0,0,0,0,0,0,15,0,0,27.7,11.961
0,0,0,0,0,0,0,0,0,0,0,0,27,11.699
0,0,0,0,0,0,0,0,0,0,0,0,27,13.334
0,0,0,0,0,0,0,0,0,0,0,0,27.2,12.129
0,0,0,0,0,0,0,0,0,0,0,0,26.1,10.459
0,0,0,0,0,0,0,0,0,0,0,0,27,9.984
0,0,0,0,0,0,0,0,0,0,0,0,27.3,11.417
0,0,0,0,0,0,17,25,0,0,0,0,27,13.611
0,0,4,0,0,0,0,0,0,0,0,0,27,12.77541
0,0,0,0,0,0,21,0,0,21,12,20,26,13.055
0,0,0,0,0,0,0,0,0,0,0,0,25.6,12.527
0,0,0,0,0,0,0,0,0,0,0,0,27.5,12.18041
5,0,0,0,0,0,12,6,0,5,0,0,26.4,13.186
0,0,0,0,0,0,0,0,0,0,0,0,26.5,26.079
14,28,11,22,23,15,18,12,17,98,64,47,26.6,20.167
4,0,10,4,5,5,6,0,7,10,8,5,26.1,19.66
0,0,8,0,0,0,0,0,0,0,0,0,25.7,15.762
0,0,0,0,0,0,0,0,0,0,0,0,26.3,13.47141
0,0,0,0,0,0,0,0,0,0,0,0,25.4,13.214
0,0,0,0,0,0,0,0,0,0,0,0,25.5,13.45
0,0,0,0,0,0,0,0,0,0,0,0,25.7,12.648
0,0,0,0,0,0,0,0,0,0,0,1,23.4,14.241
0,0,0,0,0,0,0,0,0,0,0,0,26.6,13.533
0,0,3,0,0,0,0,0,0,0,0,0,27,13.186
0,0,0,0,0,0,0,0,0,0,0,0,26.9,12.188
0,0,0,0,0,0,0,0,0,2,0,0,27,11.84
0,0,13,0,0,0,3,2,0,11,0,1,26.2,12.928
0,0,4,0,0,0,0,0,0,0,0,0,26.5,13.619
0,0,0,0,0,0,0,0,0,0,0,0,27.1,12.28
0,0,0,0,0,0,0,0,0,0,0,0,27.5,12.085
0,0,0,0,0,0,0,0,0,0,0,0,28.1,10.873
0,0,0,0,0,0,0,0,0,0,0,0,27.6,10.213
0,0,0,0,0,0,0,0,0,18,16,20,26,14.537
0,0,0,0,0,0,0,0,0,0,0,0,26.9,14.841
0,0,0,0,0,0,0,0,0,0,0,0,28.3,13.845
0,0,0,0,0,0,0,0,0,0,0,0,27.1,13.55
0,0,0,0,0,0,0,0,0,0,0,0,27.7,12.789
0,0,0,0,0,0,0,0,0,0,0,0,27.7,11.695
0,0,0,0,0,0,0,0,0,0,0,0,26.8,11.292
0,0,0,0,0,0,0,0,0,0,0,0,28.2,10.658
0,0,0,0,0,0,0,0,0,0,0,0,27.4,12.689
0,0,0,0,0,0,0,0,0,0,0,0,27.6,10.526
0,0,0,0,0,0,0,0,0,11,0,0,27.8,11.503
0,11,0,12,10,10,0,0,14,0,0,0,27.8,12.497
0,0,0,0,0,0,0,0,0,0,0,0,27.8,12.614
0,0,0,0,0,0,0,0,0,0,0,0,28.5,11.868
0,2,0,2,3,4,0,0,2,0,0,0,28.9,10.906
0,0,0,0,0,0,0,0,0,0,0,0,29.1,10.594
0,0,0,0,0,0,0,0,0,0,0,0,28.8,10.346
0,0,0,0,0,0,0,0,0,0,0,0,28.1,9.976
0,0,0,0,0,0,0,0,0,0,0,0,28.1,9.69
0,0,0,0,0,0,0,0,0,0,0,0,24.9,7.904
0,0,0,0,0,0,0,0,0,0,0,0,24.5,8.853
0,0,0,0,0,0,0,0,0,0,0,0,25.5,8.186
0,0,0,0,0,0,0,0,0,0,0,0,25.4,7.904
0,0,0,0,0,0,0,0,0,0,0,0,26.2,8.42
0,0,0,0,0,0,0,0,0,0,0,0,27.8,6.872
0,0,0,0,0,0,0,0,0,0,0,0,25.8,7.251
0,0,8,0,0,5,0,0,15,0,0,0,24.9,8.526
0,0,4,0,0,0,0,0,0,0,0,0,25.7,6.983
0,0,0,0,0,0,0,0,0,0,0,0,29.5,7.134
0,0,0,0,0,0,0,0,0,0,0,0,26.2,7.365
0,0,0,0,0,0,0,0,0,0,0,0,23.5,7.182
0,0,0,0,0,0,0,0,0,0,0,0,26,7.262
0,0,0,0,0,0,0,0,0,0,0,0,25.3,6.37
0,0,0,0,0,0,0,0,0,0,0,0,26.6,6.231
0,0,0,0,0,0,0,0,0,0,0,0,27.3,5.614
0,0,0,0,0,0,0,0,0,0,0,0,26.5,6.052
0,0,0,0,0,0,0,0,0,0,0,0,25.9,5.862
0,0,0,0,0,0,0,0,0,0,0,0,26,5.504
0,0,0,0,0,0,0,0,0,0,0,0,25,5.435
0,0,0,0,0,0,0,0,0,94,84,150,25.6,17.813
0,0,0,0,0,0,0,0,0,0,0,0,26.3,9.059
0,0,0,0,0,0,0,0,0,0,0,0,25.2,9.356
0,0,0,0,0,0,0,0,0,0,0,0,25.7,7.252
0,0,0,0,0,0,0,0,0,0,0,0,25.7,5.263
0,0,0,0,0,0,0,0,0,0,0,0,25.7,5.059
0,0,0,0,0,0,0,0,0,0,0,0,27.2,4.553
0,0,0,0,0,0,0,0,0,0,0,0,26.3,4.615
0,0,0,0,0,0,0,0,0,0,0,0,27.8,4.466
0,0,0,0,0,0,0,0,0,0,0,0,28.8,4.38
0,0,0,0,0,0,0,0,0,0,0,0,27.8,4.195
0,0,0,0,0,0,0,0,0,0,0,0,27.7,4.189
0,0,0,0,0,0,0,0,0,0,0,0,27.5,4.393
0,0,0,0,0,0,0,0,0,0,0,0,28.1,3.72
0,0,0,0,0,0,0,0,0,0,0,0,28.2,4.416
0,0,0,0,0,0,0,0,0,0,0,0,27.8,4.212
0,0,0,0,0,0,0,0,0,0,0,0,27.3,6.817
0,0,0,0,0,0,0,0,0,0,0,0,27.6,5.773
0,0,0,0,0,0,0,0,0,0,0,0,28.3,6.167
0,0,0,0,0,0,0,0,0,0,0,0,28.1,6.447
0,0,0,0,0,0,0,0,0,0,0,0,27.6,3.986
