Curah Hujan,Suhu,Debit
15.46431,26.4,61.18053
0,26.5,9.452
76.01483,26.6,165.6218
6.511616,26.1,6.934
1.086964,25.7,22.79203
0,26.3,9.56
0,25.4,7.205
0,25.5,7.114
0,25.7,7.886
0.110494,23.4,7.87
0,26.6,12.78672
1.672779,27,8.069
0,26.9,13.55754
0.033593,27,7.285
8.032359,26.2,51.88333
2.230372,26.5,28.7418
0,27.1,11.359
0,27.5,12.21654
0,28.1,9.826468
0,27.6,6.234
1.192677,26,22.55837
0,26.9,6.072
0,28.3,12.52981
0,27.1,13.61584
0,27.7,12.06264
0,27.7,6.902
0,26.8,6.936
0,28.2,11.39025
0,27.4,11.08842
0,27.6,13.02699
0.184763,27.8,6.637
3.520771,27.8,6.767
0,27.8,11.10507
0,28.5,10.0099
0.660846,28.9,6.725
0,29.1,11.31769
0,28.8,9.762332
0,28.1,13.19251
0,28.1,11.41276
0,25.7,5.733
0,23.4,5.65
0,26.6,13.2978
0,27,5.72
0,26.9,13.51271
0,27,5.916
0,26.2,11.82295
0.99907,26.5,20.82614
0.117379,27.1,13.44224
0,27.6,4.737
0,28.1,5.58
0,27.6,5.463
0,26,14.91875
0,26.9,12.21723
0,28.3,12.05834
0,27.1,4.872
0,27.7,13.83663
0,27.7,3.319
0,26.8,3.611
0,28.1,11.15611
31.51118,27.4,103.391
0,27.6,12.09296
0,27.8,12.68777
0,27.8,3.668
0,27.8,3.23
0,28.5,3.651
0,28.9,3.426
0,29.1,12.18362
0,28.8,12.5166
0,28.1,9.121109
0,28.1,3.269
0,27.7,12.52143
0,27.5,3.28
0,28.1,3.395
0,28.2,3.053
0,27.8,3.142
0,27.3,3.057
0,27.6,12.7813
0,28.3,11.09961
0,28.1,2.739
0,27.6,2.764
0,27.2,2.64
0,26.8,13.70502
0,28.1,10.97991
0,27.1,2.456
0,27.5,11.87361
0,27.6,10.7216
0,27.1,1.783
0,27.8,1.867
0,27.7,1.814
0,28.1,1.781
0,27.1,12.15334
0,26.5,13.26891
0,26.9,14.71873
0,28.3,13.01698
0,28.8,12.62375
0,27.3,12.80854
0,28.2,1.531
0,28,13.77412
0,27.5,12.46705
0,27.8,1.668
0,25.7,12.5664
0,23.4,11.41641
0,26.6,12.42936
0,27,11.28564
0,26.9,1.863
0,27,14.28881
0,26.2,9.860468
0,26.5,12.14156
0,27.1,3.753
0,27.6,4.205
0,28.1,2.191
0,27.6,12.88667
0,26,2.214
0,26.9,2.584
0,28.3,2.893
0,27.1,13.11218
0,27.7,12.06899
0,27.7,11.4282
0,26.8,12.32471
0.65249,28.1,17.32958
0.341385,27.4,2.168
0,27.6,2.204
0.117379,27.8,12.49813
0,27.8,13.75582
0,27.8,10.67198
0,28.5,12.65455
0,28.9,11.4705
0,29.1,2.122
0,28.8,13.37537
0,28.1,1.845
0.701069,28.1,18.40739
0,27.6,1.937
0,28,11.93346
0,27.2,12.58578
0,27.6,1.47
0,27.6,1.605
1.968382,28.1,12.392
1.782243,27.6,27.51727
8.409425,27.9,55.11576
1.312926,27.1,9.456
1.498692,26.8,26.25946
0.943019,28,19.79122
0.784397,28.2,20.244
1.802807,28.1,11.135
2.477114,27.7,9.068
1.49048,27.5,6.271
0.400431,28.1,15.36579
3.65358,28.2,36.65456
0.683751,27.8,6.766
3.149429,27.3,5.137
1.99728,27.6,27.56787
2.418932,28.3,32.18961
2.052058,28.1,6.083
0.9083,28.6,3.892
0.912114,28.8,21.19357
0.32182,28.6,4.473
1.149555,27.7,7.38041
0.359626,28,15.47605
0.049364,27.9,4.90741
2.257542,27.1,28.39569
1.2683,26.8,5.093
46.92458,27.7,12.379
0.359403,27.5,13.30573
0.805197,26.5,20.9096
0.320349,28.2,18.601
1.033432,27.8,16.543
1.304168,27.3,11.63541
2.752431,27.5,9.742
0.044981,28.7,18.922
0.000762,28.1,11.11486
0.029272,27.6,12.19021
2.491784,28,24.102
0.257709,27.2,25.097
4.460942,27.6,29.33
0.299661,27.6,38.408
0.808924,28.1,40.986
0.494205,27.6,17.02787
0.571223,27.9,57.39
5.064408,27.1,38.635
3.062615,26.8,34.86588
0,26.8,15.12658
2.010967,27.3,57.545
1.10012,27.6,27.534
0.509608,28.1,17.022
1.72448,28.6,27.45644
0.552223,28.8,18.85263
2.588428,28.6,41.494
0.377958,27.7,18.44505
0.728742,28,18.39779
1.254137,28,12.038
0.082695,28.2,11.941
0.315895,28.1,11.639
69.98944,27.7,100.665
19.77181,27.8,79.01
11.18115,27.8,65.564
16.48327,27.8,62.42984
31.67375,27.7,106.3289
12.90529,27.3,59.43896
13.87838,27.6,59.16354
10.36631,27.9,31.945
5.877809,27.8,27.363
7.565415,27.9,52.87087
9.333771,27.8,69.346
6.730668,27.6,49.65932
19.94296,27.3,76.5178
3.642401,27.3,35.36655
1.310899,27.9,22.89616
0.388429,27.9,19.31535
1.245254,27.8,22.51687
9.332762,27.5,41.408
2.225381,26.3,32.855
0.909954,27.9,18.36801
17.86698,27.9,64.78315
22.31012,26.8,76.75951
25.81961,27.4,74.969
28.68786,27.4,95.82941
24.88578,27.9,107.346
7.455051,27.9,70.433
1.817876,27.8,36.79
8.571089,27.9,28.646
7.764481,27.8,53.47805
4.629264,27.8,48.833
6.961344,26.7,50.62557
36.00197,27.5,97.335
25.2322,27,84.2297
24.27327,26.5,40.786
16.31538,26.5,61.2238
17.39112,27,59.021
13.33717,26.5,58.77911
1.005272,28,111.628
13.3752,26,115.173
7.021274,26.5,51.45501
2.658593,27,63.903
5.165039,27.5,56.48752
17.37602,26.5,62.77274
4.189964,27.5,98.886
3.308975,27.5,37.75386
0.642299,26.5,19.00997
1.015343,26.5,60.577
10.64333,27,46.459
0.135338,27,85.541
0.240934,26.5,15.77388
4.342309,27,42.906
9.015923,26.5,55.31229
4.742756,26.5,43.34999
20.24878,27,70.79508
6.854745,27,52.301
13.62844,27,58.6482
4.050478,27,35.33
6.267418,27,48.45267
3.643925,27,32.325
2.148062,27,27.45987
8.907217,26.5,76.81
6.540637,26.5,49.004
2.434766,26.5,61.703
8.680507,26.5,75.05904
1.849145,27,23.94575
9.693285,26.5,55.4116
0,27,10.72066
0,27,11.38491
0.002084,27.5,10.47144
3.270357,27.5,72.841
2.424853,27,77.669
8.794717,27,59.988
11.72094,27.5,62.40852
12.36711,27.5,59.64172
5.306885,27.5,43.68189
0.846235,28.5,17.65032
8.439788,27.5,53.85143
5.617053,27,85.061
1.03113,27.5,20.57108
0.241841,27,14.93223
4.178335,27,41.2897
3.065789,27.5,32.26699
4.811742,27.5,41.12255
2.386736,27,57.299
1.611125,26.5,24.27672
2.739912,26.5,100.707
4.570065,27.5,44.51651
2.04662,27.5,28.41321
2.988896,27,74.098
8.727224,26.5,57.535
10.17929,27.5,57.44019
1.013214,23.5,20.82026
3.795192,26,36.70045
0.291258,27,13.1786
0.482344,27,59.962
0.712655,27,62.386
0.270718,27.5,16.89626
26.19788,27,59.047
0.998016,27,31.154
0,26.5,11.17766
0.091963,27,11.97429
2.529098,27,58.672
12.52554,27,58.2866
1.193505,27,22.17575
0,26.5,42.247
0.104659,27,14.08935
0,26,27.545
0,26.5,12.98185
2.587663,27,63.519
1.481591,26.5,67.424
5.281298,26.5,46.08995
0.664646,27,16.71204
9.54822,26,57.05018
4.700864,26.5,93.491
0,27,14.76461
0.378148,26.5,48.557
9.340407,27,55.58441
3.923495,27,78.283
0.534151,27.5,15.24864
0,27,35.664
0,27,12.01892
0,24,73.68
0,24.5,11.69466
0,27,48.609
0,27,35.825
6.154077,27,31.962
5.254565,27,45.15524
13.61008,27,59.65654
10.5323,27,27.22
0,27,9.211654
0.649952,27.5,21.318
0.260186,28,23.152
0.387562,27.5,26.905
2.329313,27.5,27.309
2.066013,27.5,29.1397
0.443044,27.5,20.117
0.03832,27.5,16.069
0.131338,27.5,13.344
0.601274,27.5,14.087
0.002129,27.5,14.78469
1.018913,27.5,19.67409
0,27.5,12.87111
0,27,12.42506
0,27,11.894
0.318996,28,15.985
0.839538,28,15.633
0.198105,27,13.09243
0,27,16.086
0.097256,27,13.93981
0.83697,27,10.448
0,27,12.896
0.929988,27,36.142
7.706626,27,24.26
0,27,13.28487
57.14956,26.5,122.5859
1.347286,27.5,21.96285
0,27,12.34198
0,27.5,13.53807
11.14788,27.5,15.674
0.093879,27,12.54741
0,26.5,12.51749
2.822341,26.5,12.46341
0,27.5,12.505
0,27.5,11.723
0,27.5,10.004
0,27,14.16421
0,27,9.356
0,27.5,10.227
57.09188,27,10.52
0.543482,26.5,10.672
7.034436,26.5,9.865
0,26,10.688
0,26,10.264
15.46431,24,60.85668
0,24.5,9.452
76.01483,26.5,165.0639
6.511616,27,6.934
1.086964,26,7.835
0,27,9.56
0,27,14.08986
0,27,7.114
0,27,10.07173
0.110494,27.5,12.45434
0,26.5,7.791
1.672779,26,8.069
0,27.5,7.496
0.033593,27,7.285
8.032359,27.5,52.94411
2.230372,28,6.039
0,27.5,14.39548
0,27,11.46801
0,27,11.86284
0,27,6.234
1.192677,26.5,22.47248
0,27,12.47566
0,26,6.631
0,27,14.51528
0,26.5,11.30054
0,26.5,12.67607
0,26.5,12.98014
0,24,6.767
0,25,6.902
0,25,12.64042
0.184763,24,6.637
3.520771,24.5,36.84277
0,24.5,6.637
0,24,6.549
0.660846,25,6.725
0,24,5.426
