Tanggal,Curah Hujan,Suhu,Debit
14/09/2014,0,26.8,6.616
15/09/2014,0,28.1,5.132
16/09/2014,0,27.1,5.274
17/09/2014,0,27.5,5.408
18/09/2014,0,27.6,4.409
19/09/2014,0,27.1,5.481
20/09/2014,0,27.8,5.685
21/09/2014,0,27.7,5.724
22/09/2014,0,28.1,5.565
23/09/2014,0,27.1,5.084
24/09/2014,0,26.5,4.855
25/09/2014,0,26.9,4.06
26/09/2014,0,28.3,5.132
27/09/2014,0,28.8,4.173
28/09/2014,0,27.3,4.309
29/09/2014,0,28.2,4.357
30/09/2014,0,28,4.086
01/10/2014,0,27.5,4.999
02/10/2014,0,27.8,4.767
03/10/2014,0,25.7,4.466
04/10/2014,0,23.4,3.956
05/10/2014,0,26.6,4.545
06/10/2014,0,27,3.876
07/10/2014,0,26.9,4.093
08/10/2014,0,27,4.466
09/10/2014,0,26.2,4.06
10/10/2014,0,26.5,3.837
11/10/2014,0,27.1,3.822
12/10/2014,0,27.6,3.849
13/10/2014,0,28.1,3.058
14/10/2014,0,27.6,3.206
15/10/2014,0,26,3.974
16/10/2014,0,26.9,4.086
17/10/2014,0,28.3,4.111
18/10/2014,0,27.1,4.59
19/10/2014,0,27.7,5.563
20/10/2014,0,27.7,5.278
21/10/2014,0,26.8,5.517
22/10/2014,0.851806,28.1,5.819
23/10/2014,0.550222,27.4,6.091
24/10/2014,0,27.6,6.151
25/10/2014,0.117379,27.8,6.041
26/10/2014,0,27.8,5.717
27/10/2014,0,27.8,5.548
28/10/2014,0,28.5,6.146
29/10/2014,0,28.9,5.545
30/10/2014,0,29.1,5.039
31/10/2014,0,28.8,4.542
01/11/2014,0,28.1,3.184
02/11/2014,0.785197,28.1,3.654
03/11/2014,0,27.6,3.112
04/11/2014,0,28,3.639
05/11/2014,0,27.2,2.741
06/11/2014,0,27.6,2.989
07/11/2014,0,27.6,2.26
08/11/2014,4.970213,28.1,2.706
09/11/2014,7.278485,27.6,6.58
10/11/2014,12.99953,27.9,10.705
11/11/2014,19.5288,27.1,15.321
12/11/2014,19.85475,26.8,16.749
13/11/2014,7.11417,28,22.027
14/11/2014,7.098333,28.2,11.05841
15/11/2014,8.374114,28.1,16.63
16/11/2014,8.355875,27.7,20.729
17/11/2014,11.14687,27.5,24.222
18/11/2014,9.627799,28.1,24.976
19/11/2014,18.00907,28.2,46.262
20/11/2014,10.27045,27.8,23.412
21/11/2014,17.72859,27.3,15.779
22/11/2014,0.361022,27.6,11.097
23/11/2014,11.8052,28.3,19.767
24/11/2014,12.2301,28.1,16.413
25/11/2014,11.33044,28.6,20.469
26/11/2014,9.988309,28.8,15.453
27/11/2014,6.198404,28.6,30.512
28/11/2014,9.520173,27.7,18.619
29/11/2014,8.961951,28,24.733
30/11/2014,3.321374,27.9,34.674
01/12/2014,12.07507,27.1,42.773
02/12/2014,11.2011,26.8,54.825
03/12/2014,48.64498,27.7,118.2989
04/12/2014,13.23749,27.5,64.09358
05/12/2014,18.59523,26.5,57.16
06/12/2014,16.98455,28.2,123.945
07/12/2014,40.40688,27.8,126.67
08/12/2014,25.78833,27.3,124.526
09/12/2014,25.25887,27.5,77.747
10/12/2014,4.953823,28.7,45.517
11/12/2014,0.755763,28.1,33.399
12/12/2014,4.665549,27.6,23.473
13/12/2014,15.36086,28,34.202
14/12/2014,16.37733,27.2,27.674
15/12/2014,14.88515,27.6,23.584
16/12/2014,5.748174,27.6,20.568
17/12/2014,10.30973,28.1,72.127
18/12/2014,18.97381,27.6,101.63
19/12/2014,36.10135,27.9,111.215
20/12/2014,40.33838,27.1,125.342
21/12/2014,25.39463,26.8,80.97
22/12/2014,2.839208,26.8,42.436
23/12/2014,25.8079,27.3,73.428
24/12/2014,18.4701,27.6,52.936
25/12/2014,24.74535,28.1,83.977
26/12/2014,10.09242,28.6,95.099
27/12/2014,29.08373,28.8,110.73
28/12/2014,27.67706,28.6,88.86052
29/12/2014,25.7285,27.7,102.079
30/12/2014,49.19536,28,122.383
31/12/2014,71.55945,28,168.015
01/01/2015,3.637551,28.2,50.67727
02/01/2015,19.98646,28.1,111.542
03/01/2015,69.98944,27.1,160.5588
04/01/2015,19.77181,26.3,79.01
05/01/2015,11.18115,27,65.564
06/01/2015,16.48327,27.8,63.32818
07/01/2015,31.67375,28.6,104.3966
08/01/2015,12.90529,28.5,64.158
09/01/2015,13.87838,28.3,61.05903
10/01/2015,10.36631,26.6,55.02597
11/01/2015,5.877809,27.5,45.46072
12/01/2015,7.565415,27.5,21.553
13/01/2015,9.333771,28.1,69.346
14/01/2015,6.730668,28.7,57.7301
15/01/2015,19.94296,26.7,94.70961
16/01/2015,3.642401,27.6,71.001
17/01/2015,1.310899,27.8,80.647
18/01/2015,0.388429,27.3,59.351
19/01/2015,1.245254,27.6,43.272
20/01/2015,9.332762,27.4,41.408
21/01/2015,2.225381,27.1,32.855
22/01/2015,0.909954,27.7,28.829
23/01/2015,17.86698,26.5,27.803
24/01/2015,22.31012,25.8,34.139
25/01/2015,25.81961,26.7,85.38813
26/01/2015,28.68786,27.3,94.8059
27/01/2015,24.88578,26.9,84.63112
28/01/2015,7.455051,26.5,51.32169
29/01/2015,1.817876,27.5,28.42712
30/01/2015,8.571089,26.9,28.646
31/01/2015,7.764481,27.9,68.761
01/02/2015,4.629264,27.2,41.08948
02/02/2015,6.961344,27,63.92
03/02/2015,36.00197,27.6,97.335
04/02/2015,25.2322,28.1,81.12
05/02/2015,24.27327,28.6,40.786
06/02/2015,16.31538,28.8,27.803
07/02/2015,17.39112,28.6,63.09047
08/02/2015,13.33717,27.7,60.77942
09/02/2015,1.005272,28,19.85087
10/02/2015,13.3752,28,59.54956
11/02/2015,7.021274,28.2,60.043
12/02/2015,2.658593,28.1,32.71029
13/02/2015,5.165039,28,49.18261
14/02/2015,17.37602,27.2,64.48022
15/02/2015,4.189964,27.6,98.886
16/02/2015,3.308975,27.6,36.83871
17/02/2015,0.642299,28.1,18.48222
18/02/2015,1.015343,27.6,18.87159
19/02/2015,10.64333,27.9,46.459
20/02/2015,0.135338,27.1,85.541
21/02/2015,0.240934,26.8,14.52628
22/02/2015,4.342309,26.8,42.10352
23/02/2015,9.015923,27.7,52.2979
24/02/2015,4.742756,27.5,41.80272
25/02/2015,20.24878,28.1,52.331
26/02/2015,6.854745,28.2,49.1642
27/02/2015,13.62844,27.8,61.0361
28/02/2015,4.050478,27.3,35.33
01/03/2015,6.267418,27.6,46.10928
02/03/2015,3.643925,28.3,36.81995
03/03/2015,2.148062,26.9,27.93383
04/03/2015,8.907217,27.2,76.81
05/03/2015,6.540637,27.3,49.004
06/03/2015,2.434766,26.9,61.703
07/03/2015,8.680507,27.1,53.63437
08/03/2015,1.849145,27.9,60.11408
